unique_id,timestamp,tag,y_pred,y_proba,query,model_version,runtime
c67bb033-4753-4d57-9278-4adaf172c3db,1621014489.713578,all,[147889.7892],None,2019-09-11,0.1,000:00:00
68cc45e2-d13a-40b1-aa3b-cd6658fa11ad,1621014489.716823,all,[147516.80556],None,2019-09-12,0.1,000:00:00
4579208a-9b2a-43d2-b223-f205b98335c5,1621014489.720238,all,[182025.1608],None,2019-09-13,0.1,000:00:00
c598b30a-2d79-4463-9d9f-3d350378a373,1621014489.723466,all,[181978.9258],None,2019-09-14,0.1,000:00:00
dd6130a7-c791-4ab9-833e-90d00607f3bb,1621014489.727146,all,[182571.95056],None,2019-09-15,0.1,000:00:00
15a7bc25-15c6-43e5-a88a-5895b4f84411,1621014489.730887,all,[183760.42136],None,2019-09-16,0.1,000:00:00
daeef26b-cd5f-4eba-879f-9cfa71bff36a,1621014489.73458,all,[179872.244],None,2019-09-17,0.1,000:00:00
b5e5682d-f815-4a93-8b61-dd09a601416f,1621014489.7382982,all,[183688.93824],None,2019-09-18,0.1,000:00:00
139434d4-ed6b-4403-ba91-8832ca3daa25,1621014489.7421482,all,[181099.30004],None,2019-09-19,0.1,000:00:00
8f357907-659d-4bb6-9dbe-6f72957083fb,1621014489.74653,all,[182415.32184],None,2019-09-20,0.1,000:00:00
16755e26-8317-4491-8bb4-ccca810a908e,1621014489.750216,all,[203464.8274],None,2019-09-21,0.1,000:00:00
613d1846-cd10-4181-80ae-e6a1ac638d2b,1621014489.754046,all,[200059.52216],None,2019-09-22,0.1,000:00:00
eba77830-d6d8-4380-8d9e-e75cdfeece6b,1621014489.758304,all,[231723.79652],None,2019-09-23,0.1,000:00:00
1c8cc789-f784-4ffb-ba97-40ad3c66b276,1621014489.7629771,all,[309919.599],None,2019-09-24,0.1,000:00:00
a704c6b2-38a5-4bfc-ab4e-151395a9397a,1621014489.767425,all,[299006.472],None,2019-09-25,0.1,000:00:00
970ed0b8-7062-40a6-92ab-817c5fd3d664,1621014489.771866,all,[297440.80564],None,2019-09-26,0.1,000:00:00
a7e7dce7-86df-441c-b737-499bb56d2d64,1621014489.777104,all,[292839.08768],None,2019-09-27,0.1,000:00:00
bc502405-1bca-4c52-87dc-e2e625d99958,1621014489.781548,all,[294303.6132],None,2019-09-28,0.1,000:00:00
feeb6852-1125-4492-9e66-48ac3025c6dc,1621014489.78586,all,[294303.6132],None,2019-09-29,0.1,000:00:00
69373608-d62a-4f16-a075-c761fe0abccc,1621014489.790304,all,[283142.26364],None,2019-09-30,0.1,000:00:00
ac5e4d45-3a30-49b6-b7eb-1dfb8eeac21f,1621014489.795084,all,[237116.40308],None,2019-10-01,0.1,000:00:00
ffc8894f-123f-4998-be6b-3cc8e99b5ad9,1621014489.79967,all,[235056.80724],None,2019-10-02,0.1,000:00:00
7c1d74d7-edc1-4707-8139-6551cb0d8adc,1621014489.803997,all,[241542.27552],None,2019-10-03,0.1,000:00:00
01cc5eed-277b-47f0-b415-8dbb00760131,1621014489.808529,all,[234994.76544],None,2019-10-04,0.1,000:00:00
9dab3c99-813f-4500-820b-a7769c31d67f,1621014489.812674,all,[234435.88596],None,2019-10-05,0.1,000:00:00
52f5b4a3-9dc7-4810-94a7-37b5331cb771,1621014489.81683,all,[234573.37232],None,2019-10-06,0.1,000:00:00
9befde7b-faed-46d4-8c82-2d98996f05d1,1621014489.8208268,all,[239934.873],None,2019-10-07,0.1,000:00:00
5e160b6f-5c38-4f28-b1a4-54015e729b7b,1621014489.8246112,all,[234435.88596],None,2019-10-08,0.1,000:00:00
93e3ca69-a341-4051-9bca-5cb7e1e8b491,1621014489.828403,all,[234121.356],None,2019-10-09,0.1,000:00:00
18d34804-9dd1-487e-8993-a32e059917be,1621014489.8319428,all,[235346.01732],None,2019-10-10,0.1,000:00:00
5a43cbaf-90bd-4c2c-995a-7959a6bf458f,1621014489.835156,all,[234947.89608],None,2019-10-11,0.1,000:00:00
decb5f1b-37ac-4452-967f-f5640eae53b8,1621014489.838251,all,[233912.43564],None,2019-10-12,0.1,000:00:00
bec550aa-b045-453d-a498-ffd1d7ecae36,1621014489.841387,all,[235287.69388],None,2019-10-13,0.1,000:00:00
2756a832-e962-47e7-ab70-60ef213a1249,1621014489.844661,all,[234645.98348],None,2019-10-14,0.1,000:00:00
0b93d7b5-380d-41c9-b5d3-927e785969f2,1621014489.847892,all,[233293.95356],None,2019-10-15,0.1,000:00:00
5a71d934-9a68-46de-85e0-f73e3f33660a,1621014489.851012,all,[231391.0832],None,2019-10-16,0.1,000:00:00
1d2fbad9-a6ea-4561-b199-6512f40aa649,1621014489.854205,all,[233096.48008],None,2019-10-17,0.1,000:00:00
5064b60c-0b93-4f5f-bbf7-76eddb4cd5f2,1621014489.857378,all,[232785.89328],None,2019-10-18,0.1,000:00:00
cb6570cf-051f-420f-b50b-68c3ee631fd9,1621014489.860536,all,[231307.08088],None,2019-10-19,0.1,000:00:00
88e3a5df-5e8d-4494-93e0-ec40ee830d46,1621014489.86387,all,[235214.37956],None,2019-10-20,0.1,000:00:00
a6c3c0e6-2fdb-4e1c-9f9c-b78a5601ff3b,1621014489.8676322,all,[240767.07428],None,2019-10-21,0.1,000:00:00
8cc6f798-b710-4dad-92b5-5d9236badc45,1621014489.871,all,[238841.161],None,2019-10-22,0.1,000:00:00
d8460c8f-b6d9-4c1a-8864-982f081bf885,1621014489.874486,all,[237990.23348],None,2019-10-23,0.1,000:00:00
abe5ff80-5ba7-494a-ac68-8aca9fc1997d,1621014489.878124,all,[236191.58732],None,2019-10-24,0.1,000:00:00
a7d76d48-82ea-4e25-a8d8-3a369cec1ef9,1621014489.8816152,all,[234043.41676],None,2019-10-25,0.1,000:00:00
2679958f-43db-4ab0-ac3c-95ee5c439347,1621014489.8853602,all,[236559.45876],None,2019-10-26,0.1,000:00:00
d7dd3a98-6a17-4e45-8697-9c86051cadc8,1621014489.889007,all,[240150.39508],None,2019-10-27,0.1,000:00:00
04ee6833-9ac3-4484-a738-5282a4445615,1621014489.89273,all,[237770.11024],None,2019-10-28,0.1,000:00:00
6f7c28af-0359-49da-b783-b054320b8f83,1621014489.895985,all,[243859.69644],None,2019-10-29,0.1,000:00:00
bcd379cd-6616-445f-93df-4e38ede4520b,1621014489.899271,all,[241418.43736],None,2019-10-30,0.1,000:00:00
6d7ef0fd-b2e2-4640-bd73-69e98b62cb48,1621014489.902424,all,[237071.68608],None,2019-10-31,0.1,000:00:00
22d38e8b-e18e-416e-baa0-edab5e1b6836,1621014489.905636,all,[240312.13744],None,2019-11-01,0.1,000:00:00
96927f50-becc-46b6-ac76-fa8d3073a0f6,1621014489.908869,all,[241800.5098],None,2019-11-02,0.1,000:00:00
2b82c249-1107-430b-8bd2-d072ddf9373c,1621014489.9121761,all,[245110.41648],None,2019-11-03,0.1,000:00:00
17f95404-0768-4ede-980f-894ba6d9813d,1621014489.915422,all,[247507.15384],None,2019-11-04,0.1,000:00:00
b8ac1d36-e494-4628-b2f5-2bb1057d5463,1621014489.918657,all,[256705.23168],None,2019-11-05,0.1,000:00:00
